ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness,region,trail_id,name,lat,lon
129549,Bornkänzeli,2 - medium,Hiking,10.3,03:00,318,392,665.0,2,3,aargau,129549,Bornkänzeli,47.32061,7.90747
120900,Habsburger Weg 4. Etappe: Baden - Mellingen,2 - medium,Hiking,8.41,02:14,107,349,489.0,1,3,aargau,120900,Habsburger Weg 4. Etappe: Baden - Mellingen,47.471603,8.306005
129607,Aarelauf,2 - medium,Hiking,11.34,02:30,75,391,428.0,2,3,aargau,129607,Aarelauf,47.32061,7.90747
280170,Veloroute Limmattal,2 - medium,Cycling,46.27,03:22,327,348,554.0,2,4,aargau,280170,Veloroute Limmattal,47.350552,8.343384
129555,Mättenwilerkehr,1 - easy,Hiking,9.27,02:15,182,427,544.0,1,2,aargau,129555,Mättenwilerkehr,47.275753,7.901228
961881,Hüslischnegg am Asperstrihen,2 - medium,Hiking,5.0,01:23,173,670,804.0,3,3,aargau,961881,Hüslischnegg am Asperstrihen,47.436832,8.029861
129565,Mosersagi,2 - medium,Hiking,8.63,02:30,282,431,663.0,2,3,aargau,129565,Mosersagi,47.288147,7.943241
129552,Am Chilchberger Waldrand,1 - easy,Hiking,8.21,03:00,234,447,566.0,1,2,aargau,129552,Am Chilchberger Waldrand,47.260258,7.942589
581892,"Rundwanderung Seengen, Aargau",1 - easy,Hiking,15.0,03:44,380,481,715.0,1,3,aargau,581892,"Rundwanderung Seengen, Aargau",47.334663,8.204209
205242,Walking Trail 1 Lenzburg,0 - no rating,Nordic Walking,10.68,02:28,207,398,537.0,0,0,aargau,205242,Walking Trail 1 Lenzburg,47.383492,8.176313
129609,Lindensteak,2 - medium,Hiking,11.43,02:30,307,431,637.0,2,3,aargau,129609,Lindensteak,47.324627,8.01836
129612,Martinsgrabe,1 - easy,Hiking,6.45,01:30,211,431,595.0,1,2,aargau,129612,Martinsgrabe,47.288147,7.943241
294700,Skulpturenweg Dietwil,0 - no rating,Thematic route,4.69,01:16,89,436,523.0,0,0,aargau,294700,Skulpturenweg Dietwil,47.147762,8.3923
133127,Waldlehrpfad Emauswald,1 - easy,Thematic route,3.91,01:00,46,380,400.0,0,2,aargau,133127,Waldlehrpfad Emauswald,47.34256,8.347625
133125,Schönes Jonental,1 - easy,Hiking,4.91,01:30,110,397,470.0,1,2,aargau,133125,Schönes Jonental,47.296062,8.395478
294701,Murimoosweg,0 - no rating,Thematic route,3.16,00:47,12,435,447.0,0,0,aargau,294701,Murimoosweg,47.293194,8.335
129642,Aareblick,1 - easy,Hiking,9.41,02:30,57,397,428.0,2,2,aargau,129642,Aareblick,47.265507,7.831932
563436,Remetschwil-Hägglingen leicht,1 - easy,E-MTB,23.78,-,366,353,558.0,2,3,aargau,563436,Remetschwil-Hägglingen leicht,47.408348,8.330804
280171,Veloroute Knonaueramt,2 - medium,Cycling,48.19,03:35,430,380,554.0,2,4,aargau,280171,Veloroute Knonaueramt,47.276543,8.339632
120809,Auf den Spuren der Hugenotten,1 - easy,Thematic route,6.54,01:45,102,397,508.0,0,2,aargau,120809,Auf den Spuren der Hugenotten,47.378361,8.143979
120853,Höhenfahrten im Wynental,2 - medium,Cycling,25.36,02:15,560,496,781.0,2,3,aargau,120853,Höhenfahrten im Wynental,47.250134,8.184494
120909,Zwischen Geschichte und Sagen,2 - medium,Hiking,13.41,03:30,95,433,484.0,1,3,aargau,120909,Zwischen Geschichte und Sagen,47.276691,8.339441
280159,Freiämter Veloweg,2 - medium,Cycling,66.99,06:00,270,360,493.0,1,3,aargau,280159,Freiämter Veloweg,47.194176,8.396288
120827,Liebegger Infopfad,1 - easy,Thematic route,3.77,02:00,128,428,531.0,0,2,aargau,120827,Liebegger Infopfad,47.343491,8.11379
129557,Stübisberg,1 - easy,Hiking,7.96,02:00,115,441,675.0,2,2,aargau,129557,Stübisberg,47.268707,8.021453
476486,Tüfels Keller und Kindermuseum Baden,2 - medium,Hiking,11.07,03:06,274,347,788.0,0,4,aargau,476486,Tüfels Keller und Kindermuseum Baden,47.398827,8.303737
130819,Industrieweg Aabach: Etappe Lenzburg - Wildegg,1 - easy,Thematic route,6.21,02:30,31,352,406.0,0,2,aargau,130819,Industrieweg Aabach: Etappe Lenzburg - Wildegg,47.391541,8.16929
254338,Horben - Sulzer Kreuz - Horben,1 - easy,Hiking,6.12,01:37,77,796,858.0,0,2,aargau,254338,Horben - Sulzer Kreuz - Horben,47.220325,8.325688
129562,Fähre,1 - easy,Hiking,6.8,02:15,39,400,414.0,1,2,aargau,129562,Fähre,47.265507,7.831932
296990,St. Burkards-Pilgerweg in Beinwil/Freiamt,0 - no rating,Pilgrimage,2.13,00:34,27,551,578.0,0,0,aargau,296990,St. Burkards-Pilgerweg in Beinwil/Freiamt,47.230152,8.345985
129553,Hochwacht,2 - medium,Hiking,9.09,02:30,258,431,644.0,2,3,aargau,129553,Hochwacht,47.288147,7.943241
120810,Mit Perimuk zum Haselbrünneli,1 - easy,Thematic route,5.13,02:30,251,390,619.0,0,2,aargau,120810,Mit Perimuk zum Haselbrünneli,47.413559,8.083934
174253,Die Wynentaler Hügeltour,2 - medium,Mountainbike,35.65,03:00,650,458,711.0,1,3,aargau,174253,Die Wynentaler Hügeltour,47.253647,8.183961
120851,Zwischen Natur und Kultur im Freiamt,2 - medium,Cycling,36.93,02:15,248,360,493.0,2,3,aargau,120851,Zwischen Natur und Kultur im Freiamt,47.351498,8.340104
613190,Kulturweg Limmat,1 - easy,Thematic route,8.82,02:36,39,350,388.0,0,2,aargau,613190,Kulturweg Limmat,47.475815,8.30892
129644,Glashütten,1 - easy,Hiking,9.3,02:30,162,425,502.0,2,2,aargau,129644,Glashütten,47.288147,7.943241
541521,"Seengen, Schloss Hallwyl - Sarmenstorf - Bettwil - Oberschongau - Horben, Tageswanderung vom Schloss Hallwyl auf den Lindenberg zum Horben",0 - no rating,Hiking,18.98,05:04,387,448,835.0,0,0,aargau,541521,"Seengen, Schloss Hallwyl - Sarmenstorf - Bettwil - Oberschongau - Horben, Tageswanderung vom Schloss Hallwyl auf den Lindenberg zum Horben",47.32386,8.196216
129559,Wigger-Schlössli,2 - medium,Hiking,11.99,03:00,333,431,656.0,2,3,aargau,129559,Wigger-Schlössli,47.288147,7.943241
120867,Mit der Familie im Freiamt,1 - easy,Cycling,21.62,02:00,167,368,466.0,2,2,aargau,120867,Mit der Familie im Freiamt,47.35215,8.340015
182404,Rund um den Baldeggersee,2 - medium,Mountainbike,36.22,03:24,447,449,809.0,1,3,aargau,182404,Rund um den Baldeggersee,47.251694,8.204945
129608,St. Urban,2 - medium,Hiking,10.34,02:30,234,408,591.0,2,3,aargau,129608,St. Urban,47.265507,7.831932
120814,Habsburger Weg 1. Etappe: Seengen - Wildegg,2 - medium,Hiking,15.55,04:02,176,354,487.0,1,3,aargau,120814,Habsburger Weg 1. Etappe: Seengen - Wildegg,47.323277,8.194523
559481,Rund un Fischbach-Göslikon,1 - easy,Hiking,6.58,01:42,70,356,426.0,0,2,aargau,559481,Rund un Fischbach-Göslikon,47.373894,8.304159
129564,Hagart,1 - easy,Hiking,6.83,02:00,225,431,650.0,1,2,aargau,129564,Hagart,47.288147,7.943241
120932,Aussichtsreiche Bergroute,2 - medium,Cycling,46.69,04:15,584,384,776.0,2,4,aargau,120932,Aussichtsreiche Bergroute,47.391464,8.050543
120843,Nord-Süd-Route im Suhrental,2 - medium,Cycling,30.71,02:15,122,383,498.0,2,3,aargau,120843,Nord-Süd-Route im Suhrental,47.391254,8.0517
467833,Staffelegg - Ruine Schenkenberg - Thalheim,1 - easy,Hiking,7.2,02:01,156,446,755.0,2,2,aargau,467833,Staffelegg - Ruine Schenkenberg - Thalheim,47.435398,8.066973
129624,Rundwanderung Engelberg,2 - medium,Hiking,11.17,03:30,283,395,702.0,1,3,aargau,129624,Rundwanderung Engelberg,47.32008,7.89966
897134,PanoramatourAG-Strihen-ZeiherHomberg,1 - easy,Mountainbike,25.29,01:31,756,438,740.0,1,1,aargau,897134,PanoramatourAG-Strihen-ZeiherHomberg,47.462158,7.99606
427191,"Leimbach AG, CH Hombergtour",1 - easy,Mountainbike,11.03,01:05,281,510,784.0,1,2,aargau,427191,"Leimbach AG, CH Hombergtour",47.276859,8.163441
671212,Eichberg,2 - medium,E-MTB,50.63,03:21,1083,370,712.0,4,6,aargau,671212,Eichberg,47.411793,8.258978
735245,"Leutwil, Aargau",1 - easy,Hiking,8.0,02:34,84,700,771.0,2,2,aargau,735245,"Leutwil, Aargau",47.301453,8.163306
133117,Birmenstorfer Naturlehrpfad,1 - easy,Thematic route,1.88,01:00,95,399,496.0,0,2,aargau,133117,Birmenstorfer Naturlehrpfad,47.463585,8.249283
559319,Altberg mit Singeltrail,1 - easy,Mountainbike,24.82,01:51,353,405,625.0,2,2,aargau,559319,Altberg mit Singeltrail,47.465366,8.333725
280935,Der Weg der Heiligen Bernarda in Auw,1 - easy,Thematic route,1.56,01:00,15,479,497.0,0,1,aargau,280935,Der Weg der Heiligen Bernarda in Auw,47.210033,8.367327
129620,bikingZofingenregio_Lättentour,2 - medium,Mountainbike,36.46,03:00,805,436,747.0,3,4,aargau,129620,bikingZofingenregio_Lättentour,47.290421,7.94753
580172,"Rundwanderung im Seetal Beinwil am See, Aargau",1 - easy,Hiking,9.73,02:10,232,515,690.0,1,3,aargau,580172,"Rundwanderung im Seetal Beinwil am See, Aargau",47.266479,8.202376
628639,Walking Trail 2 Lenzburg,0 - no rating,Nordic Walking,9.16,02:06,141,398,507.0,0,0,aargau,628639,Walking Trail 2 Lenzburg,47.383465,8.176299
129634,bikingZofingenregio_challengeTour,3 - difficult,Mountainbike,89.03,08:00,1716,391,702.0,4,6,aargau,129634,bikingZofingenregio_challengeTour,47.290421,7.94746
545906,Wettingen-Lägern Hochwacht,2 - medium,Mountainbike,22.41,01:57,487,409,851.0,3,4,aargau,545906,Wettingen-Lägern Hochwacht,47.465221,8.333657
624204,hajamithi Frick,1 - easy,Hiking,16.78,03:50,447,410,604.0,1,2,aargau,624204,hajamithi Frick,47.508995,8.030663
129632,bikingZofingenregio_Boowald-Tour,1 - easy,Mountainbike,24.37,02:00,206,414,565.0,2,2,aargau,129632,bikingZofingenregio_Boowald-Tour,47.295059,7.90387
543430,Seiten-Moränen-Tour Schöftland,2 - medium,Mountainbike,26.87,01:40,618,448,679.0,3,4,aargau,543430,Seiten-Moränen-Tour Schöftland,47.259727,8.043612
836001,Aargauer Tour,2 - medium,Mountainbike,56.69,03:45,1050,353,737.0,3,4,aargau,836001,Aargauer Tour,47.342579,8.347401
757496,Rundkurs mit Start & Ende in Endingen,1 - easy,Hiking,12.41,02:52,275,400,621.0,1,4,aargau,757496,Rundkurs mit Start & Ende in Endingen,47.533012,8.29037
129628,Auenlandschaft Ruppoldingen,1 - easy,Hiking,4.4,01:00,5,391,402.0,1,2,aargau,129628,Auenlandschaft Ruppoldingen,47.3204,7.89894
464419,Geissberg Runde Jurapark CH,2 - medium,Mountainbike,17.81,01:34,395,381,700.0,3,3,aargau,464419,Geissberg Runde Jurapark CH,47.560299,8.155592
507875,Winterwanderung,1 - easy,Hiking,14.07,02:52,216,390,506.0,1,3,aargau,507875,Winterwanderung,47.411606,8.230246
525576,Rotberg_Geissberg,2 - medium,Mountainbike,19.3,01:49,509,377,639.0,4,5,aargau,525576,Rotberg_Geissberg,47.560482,8.154786
753862,Frick - Fricktaler Höhenweg - Mumpfer Fluh,1 - easy,Hiking,10.59,02:55,398,353,631.0,1,4,aargau,753862,Frick - Fricktaler Höhenweg - Mumpfer Fluh,47.507046,8.013009
129616,Rottannhubel - Galgenberg,2 - medium,Hiking,11.95,04:00,231,431,648.0,1,3,aargau,129616,Rottannhubel - Galgenberg,47.288639,7.94262
661138,Gemütliche Runde im unteren Achenberg,1 - easy,Hiking,3.87,01:16,118,352,462.0,3,3,aargau,661138,Gemütliche Runde im unteren Achenberg,47.584217,8.291434
476483,Aargauer Kunsthaus und Wildpark Roggenhausen,1 - easy,Hiking,6.28,01:41,121,381,461.0,0,2,aargau,476483,Aargauer Kunsthaus und Wildpark Roggenhausen,47.391777,8.051894
129626,Wissberg - Benzligen,2 - medium,Hiking,12.25,03:00,151,411,503.0,1,3,aargau,129626,Wissberg - Benzligen,47.305241,7.89953
129638,bikingZofingenregio_Säli-/Engelberg-Tour,2 - medium,Mountainbike,10.93,01:30,482,406,702.0,4,3,aargau,129638,bikingZofingenregio_Säli-/Engelberg-Tour,47.320271,7.90793
533192,"Feld-, Wald- und Wiesentour",1 - easy,Hiking,18.32,04:13,496,593,782.0,3,3,aargau,533192,"Feld-, Wald- und Wiesentour",47.223602,8.149537
161124,Markgräferland,0 - no rating,Racing,95.04,05:38,680,228,709.0,0,0,aargau,161124,Markgräferland,47.558868,7.785
86433,Rundwanderung 1 Von Villnachern am Schryberhof vorbei Richtung Bözberg. Auf dem Panoramaweg bis zur Grabensrasse. Auf der Grabenstrasse zum Kohlpla...,1 - easy,Hiking,7.9,01:41,64,360,519.0,3,3,aargau,86433,Rundwanderung 1 Von Villnachern am Schryberhof vorbei Richtung Bözberg. Auf dem Panoramaweg bis zur Grabensrasse. Auf der Grabenstrasse zum Kohlplatz. Vom Kohlplatz zum Waldhaus dann wieder nach Villnachern,47.469841,8.161625
402418,Rundweg zur Linner Linde,1 - easy,Hiking,4.3,-,56,509,581.0,1,2,aargau,402418,Rundweg zur Linner Linde,47.47073,8.132538
402610,"Strecke für Junghunde, Hägglingen, Aargau",1 - easy,Hiking,2.3,00:37,8,477,484.0,1,1,aargau,402610,"Strecke für Junghunde, Hägglingen, Aargau",47.378983,8.279587
840423,Von der Linner Linde zur Burgruine Schenkenberg,1 - easy,Hiking,7.61,02:01,221,447,736.0,3,4,aargau,840423,Von der Linner Linde zur Burgruine Schenkenberg,47.470432,8.132668
294082,Zofingen-Oftringen-Safenwil-Kölliken-Holziken-Staffelbach-Reitnau-Bottenwil-Uerkheim-Zofingen,0 - no rating,Cycling,41.95,02:58,492,426,656.0,0,0,aargau,294082,Zofingen-Oftringen-Safenwil-Kölliken-Holziken-Staffelbach-Reitnau-Bottenwil-Uerkheim-Zofingen,47.290295,7.947778
679751,Mumpfer Flue - Trail Running,1 - easy,Trailrunning,2.24,00:29,188,306,492.0,2,4,aargau,679751,Mumpfer Flue - Trail Running,47.544254,7.92245
253313,Jurahöhenweg 2. Etappe | Baden - Brugg,0 - no rating,Hiking,9.05,-,325,331,571.0,0,0,aargau,253313,Jurahöhenweg 2. Etappe,47.473351,8.305908
294083,Zofingen-Brittnau-Pfaffnau-Glashütten-Fulenbach-Aarburg-Walterswil-Kölliken-Uerkheim-Zofingen,0 - no rating,Cycling,57.05,04:01,542,395,581.0,0,0,aargau,294083,Zofingen-Brittnau-Pfaffnau-Glashütten-Fulenbach-Aarburg-Walterswil-Kölliken-Uerkheim-Zofingen,47.290375,7.947871
253312,Jurahöhenweg 1. Etappe | Dielsdorf - Baden,0 - no rating,Hiking,0.0,-,694,357,860.0,0,0,aargau,253312,Jurahöhenweg 1. Etappe,47.481419,8.458772
294081,Zofingen-Brittnau-Pfaffnau-St. Urban-Glashütten-Fulenbach-Boningen-Aarburg-Zofingen,0 - no rating,Cycling,40.45,02:48,278,395,546.0,0,0,aargau,294081,Zofingen-Brittnau-Pfaffnau-St. Urban-Glashütten-Fulenbach-Boningen-Aarburg-Zofingen,47.290375,7.947844
740261,Fahrradweg von Bad Zurzach bis Weihach und zurück,1 - easy,E-Bike,31.3,01:50,195,335,398.0,2,3,aargau,740261,Fahrradweg von Bad Zurzach bis Weihach und zurück,47.590736,8.288494
253592,Jurahöhenweg 5. Etappe | Hauenstein - Balsthal,0 - no rating,Hiking,17.24,-,676,491,1055.0,0,0,aargau,253592,Jurahöhenweg 5. Etappe | Hauenstein - Balsthal,47.377918,7.872076
435048,Aarewanderung Stilli Holderbank,1 - easy,Hiking,15.74,03:45,257,333,521.0,1,3,aargau,435048,Aarewanderung Stilli Holderbank,47.514679,8.232297
868641,Vom Homberg zur Sennhütten und zurück,1 - easy,Hiking,6.25,01:28,108,584,648.0,2,2,aargau,868641,Vom Homberg zur Sennhütten und zurück,47.493973,8.138138
294087,Zofingen-Pfaffnau-Glashütten-Boningen-Oftringen-Kölliken-Staffelbach-Reitnau-Bottenwil-Uerkheim-Zofingen,0 - no rating,Cycling,73.85,05:11,754,398,656.0,0,0,aargau,294087,Zofingen-Pfaffnau-Glashütten-Boningen-Oftringen-Kölliken-Staffelbach-Reitnau-Bottenwil-Uerkheim-Zofingen,47.290363,7.947787
887309,Staffelegg-Strihen Seite Asp,1 - easy,Hiking,4.5,00:58,109,665,802.0,1,1,aargau,887309,Staffelegg-Strihen Seite Asp,47.448215,8.040086
898948,Uhu Tour,1 - easy,Hiking,13.54,02:51,193,353,472.0,1,3,aargau,898948,Uhu Tour,47.408566,8.218287
253315,Jurahöhenweg 3. Etappe | Brugg - Staffelegg,0 - no rating,Hiking,15.7,-,870,344,767.0,0,0,aargau,253315,Jurahöhenweg 3. Etappe,47.480957,8.208657
357325,Zum Stahl der Steinzeit,1 - easy,Hiking,8.39,02:00,196,420,570.0,1,2,basel-region,357325,Zum Stahl der Steinzeit,47.425369,7.758727
132998,Chellenchöpfli & Passwang,2 - medium,Hiking,9.85,03:00,485,924,1204.0,2,3,basel-region,132998,Chellenchöpfli & Passwang,47.373665,7.699918
812811,Wandererlebnis mit dem Bus - Augst - Saline,0 - no rating,Hiking,3.68,01:00,15,255,271.0,0,0,basel-region,812811,Wandererlebnis mit dem Bus - Augst - Saline,47.534748,7.712881
548333,Rundwanderung Farnsberg,1 - easy,Hiking,5.88,01:52,213,581,760.0,0,2,basel-region,548333,Rundwanderung Farnsberg,47.495255,7.855785
133037,Römertour: 2000 Jahre Rückblick,3 - difficult,Cycling,62.79,04:30,1046,264,739.0,2,5,basel-region,133037,Römertour: 2000 Jahre Rückblick,47.406734,7.871921
132993,Zunzgerhard & Obstplantagen,2 - medium,Hiking,9.97,02:45,320,359,604.0,1,3,basel-region,132993,Zunzgerhard & Obstplantagen,47.467281,7.786777
371230,Gempenplateau-Tour,2 - medium,Mountainbike,40.64,03:00,782,257,730.0,3,3,basel-region,371230,Gempenplateau-Tour,47.539646,7.622568
548336,Rundwanderung Wildenstein,1 - easy,Hiking,6.52,01:48,113,492,569.0,0,2,basel-region,548336,Rundwanderung Wildenstein,47.424625,7.757533
130967,Olten-Belchen-Langenbruck-Olten,2 - medium,Mountainbike,30.66,04:00,745,391,1055.0,2,3,basel-region,130967,Olten-Belchen-Langenbruck-Olten,47.348164,7.901758
357322,Wahlen - Zum Stürmenchopf,2 - medium,Hiking,7.24,02:30,398,403,769.0,2,3,basel-region,357322,Wahlen - Zum Stürmenchopf,47.402042,7.514636
377011,Bike Trail Arlesheim,2 - medium,Mountainbike,11.39,01:15,317,277,586.0,3,2,basel-region,377011,Bike Trail Arlesheim,47.489834,7.610862
548337,Rundwanderung Chaltbrunnental - Chastelbach,2 - medium,Hiking,7.94,02:23,231,322,544.0,3,3,basel-region,548337,Rundwanderung Chaltbrunnental - Chastelbach,47.441158,7.590742
812804,Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal,0 - no rating,Hiking,6.08,01:45,149,326,532.0,0,0,basel-region,812804,Wandererlebnis mit dem Bus - Lausen - Huppergruben - Liestal,47.46452,7.758561
357320,Ergolztal - Alte und neue Berge,2 - medium,Hiking,16.12,04:30,377,275,572.0,2,4,basel-region,357320,Ergolztal - Alte und neue Berge,47.491425,7.730161
130681,ViaSurprise-Zubringer: Liestal - Reigoldswil,2 - medium,Hiking,16.51,04:30,580,319,690.0,1,4,basel-region,130681,ViaSurprise-Zubringer: Liestal - Reigoldswil,47.484497,7.731689
357291,Landwirtschaft (Ausflug in die Vergangenheit),1 - easy,Cycling,27.73,02:00,67,254,336.0,0,2,basel-region,357291,Landwirtschaft (Ausflug in die Vergangenheit),47.484615,7.730773
320784,Rundwanderung Chatzenstieg-Huerewägli,2 - medium,Hiking,5.18,01:47,254,924,1145.0,0,3,basel-region,320784,Rundwanderung Chatzenstieg-Huerewägli,47.373589,7.70015
670385,Erlebnisweg passepartout,0 - no rating,Thematic route,10.02,02:48,160,449,632.0,0,0,basel-region,670385,Erlebnisweg passepartout,47.449169,7.939218
613198,BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg,0 - no rating,Hiking,12.17,03:59,569,431,1000.0,0,0,basel-region,613198,BLKB-Wanderung Sommerau - Giessen-Wisenberg - Ruine Homburg,47.436516,7.850448
357328,Waldenburg,1 - easy,Hiking,3.76,02:00,285,525,810.0,2,2,basel-region,357328,Waldenburg,47.380608,7.751509
246771,Rundtour von Aesch via Ruine Pfeffingen und Duggingen,2 - medium,Hiking,8.71,02:45,306,295,496.0,2,3,basel-region,246771,Rundtour von Aesch via Ruine Pfeffingen und Duggingen,47.467697,7.602552
610990,BLKB-Wanderung Reinach - Leywald - Reinach,0 - no rating,Hiking,4.49,01:10,58,307,364.0,0,0,basel-region,610990,BLKB-Wanderung Reinach - Leywald - Reinach,47.485867,7.591471
132995,Ruinen Wartenberg & Rebenweg,2 - medium,Hiking,7.37,02:00,255,286,479.0,1,3,basel-region,132995,Ruinen Wartenberg & Rebenweg,47.526367,7.647277
114226,Blütenpracht im Baselbiet,2 - medium,Hiking,12.19,03:35,447,369,756.0,2,3,basel-region,114226,Blütenpracht im Baselbiet,47.523754,7.846814
1040682,Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil,3 - difficult,Hiking,19.76,06:00,569,331,877.0,1,5,basel-region,1040682,Von Basel zum Mont Blanc Etappe 4: Laufen – Beinwil,47.422802,7.500509
371235,Ergolz-Tour,2 - medium,Mountainbike,36.36,03:15,953,306,743.0,3,3,basel-region,371235,Ergolz-Tour,47.484337,7.732074
357321,"""Reigoldswil - Geheimnisse rund ums Horn""",2 - medium,Hiking,11.5,02:30,332,466,735.0,1,3,basel-region,357321,Reigoldswil - Geheimnisse rund um's Horn,47.38924,7.697794
133001,Syydebändel & Rebenweg,2 - medium,Hiking,13.21,03:30,390,370,574.0,1,3,basel-region,133001,Syydebändel & Rebenweg,47.52383,7.846923
548334,Liestaler Aussichtsturm - Sissacherfluh,2 - medium,Hiking,10.3,03:22,556,308,702.0,1,3,basel-region,548334,Liestaler Aussichtsturm - Sissacherfluh,47.484295,7.732122
156872,Basler Weg: Aesch - Beinwil Kloster,3 - difficult,Pilgrimage,20.14,06:16,761,302,877.0,0,5,basel-region,156872,Basler Weg: Aesch - Beinwil Kloster,47.467506,7.601017
