ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
348118,Glacier 3000 (Scex Rouge) - Quille du Diable - Glacier 3000 (Scex Rouge),2 - medium,Hiking,5.0,01:30,132,2822, 2923,3,3
167065,LEY-WIW- Le Flot de Crête,1 - easy,Winter hiking,4.58,01:22,108,1142, 1386,0,2
1002834,Le Chenit – Col du Marchairuz – Le Chenit,3 - difficult,Mountainbike,50.48,05:45,1028,1005, 1484,3,5
156804,Via Francigena: Lausanne - Vevey,2 - medium,Pilgrimage,23.43,06:31,229,372, 527,0,4
156775,Drei-Seen-Weg: Avenches - Payerne,1 - easy,Pilgrimage,12.8,03:20,147,447, 578,0,2
114360,Swiss fine wine trail - La Côte,1 - easy,Hiking,7.28,01:56,95,396, 552,1,1
61633,Rocher de Naye,2 - medium,Mountainbike,11.89,01:21,133,389, 1972,4,3
335815,Via Francigena: AIVF Variante via Bex,1 - easy,Pilgrimage,10.7,03:01,227,413, 535,0,2
543688,Via Francigena: Variante Lignerolle,1 - easy,Pilgrimage,5.66,01:37,103,604, 929,0,2
276168,Mittelpunkt Waadt,1 - easy,Hiking,12.35,03:30,40,443, 864,2,2
508310,Über die Sprachgrenze ins Saanenland,1 - easy,Hiking,7.46,02:00,180,970, 1049,2,2
156756,Weg der Romandie: Moudon - Lausanne,3 - difficult,Pilgrimage,28.94,07:55,570,510, 876,0,5
545709,Via Francigena: Variante Romainmôtier,1 - easy,Pilgrimage,12.82,03:28,185,482, 715,0,2
948836,Glacier 3000 - Arpelistock (3036 M.Ü.M),3 - difficult,Ski tour,9.56,02:20,796,2239, 3035,6,5
63184,Route Eclépens – Chavornay,2 - medium,Hiking,12.57,03:32,281,447, 613,3,3
70042,"""Von der Videmanette ins Pays dEnhaut""",2 - medium,Hiking,10.5,03:25,230,914, 2141,4,3
58455,"Col de Voré – Bergseen, Alpen, Gletschersicht",2 - medium,Hiking,12.68,04:30,420,1129, 1916,3,3
131701,Glacier 3000 (Scex Rouge) - Sanetsch - Gsteig,3 - difficult,Hiking,18.98,05:45,107,1178, 2935,4,5
156800,Via Francigena: Aigle - St-Maurice,2 - medium,Pilgrimage,17.51,04:59,398,394, 643,0,3
108773,LEY-HDW - Château de Chillon - Montreux,1 - easy,Hiking,3.1,00:45,5,373, 384,1,1
71485,Route Château de Chillon – Le Bouveret,1 - easy,Hiking,10.55,02:41,56,370, 390,2,2
108304,"""LEY-DW - Mont dOr""",3 - difficult,Hiking,17.21,07:51,1199,1381, 2175,3,5
494811,LEY-WIW-DW- Leysin-Aigle,0 - no rating,Winter hiking,7.37,02:15,8,419, 1388,0,0
112042,LEY-HDW - Prafandaz,1 - easy,Hiking,9.6,03:05,424,1249, 1580,2,2
494779,LEY-WIW- La Boule de Gomme,0 - no rating,Winter hiking,4.36,01:15,83,1185, 1289,0,0
296983,Von Vevey durch das Lavaux nach Lausanne,3 - difficult,Hiking,21.46,06:00,223,372, 502,1,5
83739,Wanderung Le Pont – Vallorbe,1 - easy,Hiking,8.18,02:10,110,750, 1102,1,1
162917,Pässewanderung im Grenzgebiet Bern - Waadt,2 - medium,Hiking,10.98,04:00,620,1177, 1919,4,3
853397,GFW 30 - Le Sentier du Sel,2 - medium,Hiking,13.34,04:30,320,481, 1022,3,4
104901,"DW Lac Lioson, Les Mosses",2 - medium,Hiking,10.27,03:35,559,1443, 1959,2,3
63353,From one pass to the other !,2 - medium,Hiking,16.38,08:00,704,1171, 1654,3,4
48956,"""Zwischen Saanenland und Pays dEnhaut""",2 - medium,Hiking,13.24,04:40,534,1009, 2141,4,4
1022681,LEY-DW- Onder en langs kabelbanen van Les Diablerets,0 - no rating,Hiking,13.39,05:40,1237,1329, 2486,0,0
1049495,LEY-HDW- Kloofje van Bryon en Les Fers,0 - no rating,Hiking,8.46,02:55,495,1381, 1841,0,0
203851,Circuit vélo Vallon du Nozon,2 - medium,Cycling,31.95,04:00,546,634, 1179,0,4
63840,La Grande Traversée - stage 3,2 - medium,Hiking,18.32,04:00,236,659, 835,2,4
449471,gorges-de-covatannaz,1 - easy,Hiking,10.32,02:49,562,593, 1049,2,2
474621,Trélex - 1/2 Barillette,2 - medium,E-MTB,17.66,01:25,515,510, 905,3,4
1022713,LEY-HDW- Le Suchet met buggy,0 - no rating,Hiking,4.99,01:20,16,1233, 1388,0,0
203850,Velotour Vallée de Joux,2 - medium,Cycling,30.24,04:00,147,1007, 1097,0,4
497796,Les Rasses - Chasseron - Les Cluds - Les Rasses,1 - easy,Hiking,11.41,02:50,457,1196, 1599,2,2
644244,Chalet à gobet,1 - easy,Mountainbike,19.84,01:50,329,727, 935,2,1
92256,Bike Tour Parc Jura vaudois,2 - medium,Cycling,121.53,08:00,1879,620, 1342,2,4
70833,Grosse Wanderroute - 1. Etappe,3 - difficult,Hiking,18.95,08:00,655,1038, 1490,2,6
950834,Le Sommet des Diablerets (3210 m ü. M.),3 - difficult,Ski tour,3.3,01:15,374,2837, 3210,5,3
60825,La Givrine-St-Cergue,2 - medium,Snowshoe,8.84,03:30,191,1044, 1399,2,4
959452,"""Villars - Bretaye, via Roc dOrsay""",2 - medium,Ski tour,4.24,02:05,513,1307, 1802,4,4
203841,7 La Route Verte - 7. Etappe,2 - medium,Cycling,68.88,08:00,455,377, 1354,0,4
131665,Glacier Walk,2 - medium,Winter hiking,4.79,01:15,47,2814, 2859,3,3
76672,Glacier Walk,1 - easy,Winter hiking,2.43,01:00,48,2816, 2856,2,2
1049456,"""LEY-DW- Tour du Mont dOr""",0 - no rating,Hiking,16.36,05:15,676,1351, 1735,0,0
1046532,LEY-DW- Terugtocht 2-daagse La Forclaz,0 - no rating,Hiking,9.42,03:05,506,928, 1388,0,0
63841,La Grande Traversée - stage 2,2 - medium,Hiking,14.84,08:00,375,743, 1679,3,4
959473,"Villars to Les Disblerets, from the Lac Noir to Meilleret",1 - easy,Hiking,4.54,01:31,290,1754, 1930,3,3
