ID,title,difficulty,sport,length,time,climb,min,max,technique,fitness
92278,Abenteuerparcours Bietschtalbrücke,2 - medium,Via ferrata,8.28,03:45,635,636, 1021,0,4
50215,Dorfwaldweg,1 - easy,Hiking,4.47,01:20,172,1406, 1577,2,2
132700,Von der Belalp zur Nesselalp und nach Birgisch,2 - medium,Hiking,9.69,03:30,64,1078, 2096,4,4
586714,Helsana Trail : Crans-Montana blau,2 - medium,Trailrunning,5.12,00:51,78,1348, 1426,2,3
258046,"""Tour du Val dAnniviers""",0 - no rating,long-distance walking trail,77.24,28:12,4974,1000, 2856,0,0
51071,Riffelalpweg,2 - medium,Hiking,4.18,01:30,26,1664, 2226,2,3
395857,"Forêt de Pfyn/Finges - Parcours ""Les collines"" (Zurich VitaParcours)",2 - medium,Hiking,4.55,01:27,148,542, 599,3,4
179122,Weinweg: Branson - Saillon (Etappe 1),2 - medium,Hiking,12.03,03:30,223,460, 625,2,3
82109,Gasenried - SAC Bordierhütte,3 - difficult,Hiking,7.76,05:00,1236,1658, 2894,6,5
51719,Über den Waldpfad zum Saumweg,3 - difficult,Hiking,16.91,06:00,1182,1331, 2206,3,6
823068,Via Valais Cabane des Becs de Bosson - Cabane de Moiry (Etappe 4),2 - medium,Trailrunning,16.54,03:15,759,2251, 2985,3,4
16366,E-Bike-Tour,1 - easy,Cycling,18.78,02:30,550,1355, 1790,2,2
130858,Antronapass - Auf den Spuren der Händler,2 - medium,Hiking,8.09,04:00,939,1902, 2838,4,4
82706,Wallis Velo Tour: Leukerbad - Oberwald (Etappe 3),3 - difficult,Cycling,98.99,06:00,2029,623, 1495,5,4
50572,Challenge Trail,1 - easy,Snowshoe,1.67,01:00,1,2815, 3089,2,2
908545,Winterwanderweg Oberems,2 - medium,Winter hiking,3.2,01:55,235,1331, 1600,2,3
82167,Spektakuläre Alpinwanderung von Grächen zur SAC Bordierhütte,3 - difficult,Hiking,9.24,04:50,1283,1618, 2898,5,5
82702,Wallis Velo Tour: Le Bouveret - Sion (Etappe 10),2 - medium,Cycling,85.79,06:35,1179,374, 1371,4,3
