trail_id,name,lat,lon
92278,Abenteuerparcours Bietschtalbrücke,46.307625,7.800303
50215,Dorfwaldweg (Nr. 60),46.100086,7.78163
132700,Von der Belalp zur Nesselalp und nach Birgisch,46.371605,7.974285
586714,Helsana Trail : Crans-Montana blau,46.303802,7.480442
258046,Tour du Val d'Anniviers,46.260509,7.563729
51071,Riffelalpweg (Nr. 20),46.004829,7.753629
395857,"Forêt de Pfyn/Finges - Parcours ""Les collines"" (Zurich VitaParcours)",46.293362,7.557209
179122,Weinweg: Branson - Saillon (Etappe 1),46.125088,7.086062
82109,Gasenried - SAC Bordierhütte,46.178921,7.824512
51719,Über den Waldpfad zum Saumweg,46.485622,8.266732
823068,Via Valais Cabane des Becs de Bosson - Cabane de Moiry (Etappe 4),46.164074,7.516355
16366,E-Bike-Tour,46.401859,7.778164
130858,Antronapass - Auf den Spuren der Händler,46.089752,7.963307
82706,Wallis Velo Tour: Leukerbad - Oberwald (Etappe 3),46.379604,7.627242
50572,Challenge Trail (Nr. 141),45.983212,7.782343
908545,Winterwanderweg Oberems,46.282745,7.695568
82167,Spektakuläre Alpinwanderung von Grächen zur SAC Bordierhütte,46.195915,7.838854
82702,Wallis Velo Tour: Le Bouveret - Sion (Etappe 10),46.385712,6.853126
132657,Simplonpass - Mäderlicka - Rothwald,46.246708,8.029043
834886,Laggintal,46.195602,8.055374
996861,"Blaue Piste ""La Jaune"" (Tour für Anfänger) / Rando Parc Morgins",46.236568,6.85678
490544,Gspon-Trail,46.225163,7.902203
78096,Bike-Tour Matterhorn Valley Trail (Nr. 20),46.023682,7.748114
960155,ZIN-DW - Cabane des Becs de Bosson,46.180695,7.55768
130863,Familienerlebnis auf dem Hannig,46.116428,7.932386
131948,Säumerromantik Grimselpass,46.562073,8.338498
107918,Val d'Anniviers - Täler & Musts,46.292034,7.533768
132605,Rundweg Simplon Dorf,46.195644,8.055564
212772,Trockener Steg to Zermatt,45.970284,7.723116
50673,Furi-Stafel (Nr. 122),46.001442,7.731531
398541,Sentier viticole,46.29398,7.521589
946939,Champéry - Rumières - Sur Cou,46.174953,6.870243
164057,Rundweg Ritzinger Feldkapelle,46.457115,8.223653
212811,Hotel Weisshorn to Zinal,46.208218,7.617756
205607,Winterwanderung von der Chiematte zur Bergstation Luftseilbahn,46.370022,7.967558
14412,Gebirgswald Rundgang,46.399502,7.772404
996859,17. Morgins - Savolaire,46.237022,6.857569
179119,Durch das Vallon de They zu den Quellen der Vièze,46.23711,6.856621
974661,Von Blatten bei Naters zum Aussichtspunkt,46.359158,7.98387
53512,Sonnenweg (Nr. 22),45.983238,7.782318
130904,Heimischgarte-Trail,46.153168,7.928511
593369,Wanderweg entlang der Vièze-Schluchten,46.252163,6.946979
164019,Fahrradgenuss auf dem Rottenweg,46.530819,8.342672
339422,Durch den Lärchwald von Blatten bei Naters auf die Belalp,46.359417,7.984084
170839,Alpenpässeweg: Simplonpass - Gspon,46.244488,8.021495
138936,Mountainbike-Route Stoneman Glaciara by Roland Stauder,46.429268,8.162402
169250,Sentier des Chamois,46.08046,7.269093
946949,15. Sentier des Röstis,46.206383,6.87378
135553,Tour des Combins,45.949154,7.208395
599056,Längfluh / Saas-Fee,46.08427,7.895821
8468,Lötschentaler Höhenweg (Fafleralp - Faldumalp),46.434711,7.86186
84698,Der Gornergletscher im Wandel der Zeit (Nr. 17b),46.001423,7.731536
164037,Binntalwanderung,46.411961,8.152329
50937,Hörnliweg (Nr. 27),45.991596,7.709289
82710,Wallis Velo Tour: Sion - Crans-Montana (Etappe 1),46.227547,7.359025
80802,Valais Alpine Bike,46.096096,7.228962
16040,Lötschentaler Breithorn,46.41964,7.819342
776610,Val d‘Anniviers Tour,46.133472,7.63261
586302,Rothwald - Furggubäumlicke - Alpe Veglia,46.279434,8.037905
405168,"Rundwanderung von der Riederalp via Silbersand, Bischofssitz und zurück",46.376163,8.026239
519061,Tour de Mayentset,46.255432,7.307271
88344,Moos-Trail (Nr. F1),46.001389,7.737132
50365,Täsch-Randa (Nr. 131),46.067677,7.77529
494824,Hannigalp Wannihorn Trail,46.2066,7.867953
908541,Panorama-Trail,46.259521,7.830348
71973,The Matterhorn Trek,46.020714,7.746419
771098,ZIN-DW - Moiry Glacier - Tour 2500 - Moiry Barrage,46.106544,7.578899
14711,Lötschenlücke,46.420067,7.820046
389972,Hannig Bergfahrt,46.116398,7.9324
490549,Waldegga Trail,46.225193,7.902193
81417,Leukerbad-Flüealp,46.379555,7.627151
92255,Klettersteig Eggishorn,46.427219,8.093119
89366,Col de Champex – Mythische Alpenpässe,46.077286,7.075734
767160,Via Valais Cabane des Aiguilles Rouges - Cabane des Becs de Bosson (Etappe 3),46.057487,7.456157
309998,Gspon Panorama Bike,46.225182,7.902196
946937,Croix-de-Culet - Lac Vert - Champéry,46.175224,6.845791
383160,Hohsaas Bike-Trail,46.139637,7.991111
164050,Urschgen Trail,46.467201,8.24687
50601,Schaliberg (Nr. 64),46.100071,7.78165
170573,Haute Route van Chamonix naar Zermatt,46.086086,7.223949
130936,Klettersteig Jegihorn,46.138615,7.964016
120650,Freichirunde: von Fiesch auf den Schinerewysse,46.404041,8.135339
7225,Champéry - Bonavau-Rossétan-Roc Coupé,46.175076,6.870317
120659,Rundwanderung von der Bettmeralp zu den Chatzulechern und zurück,46.386379,8.05769
82100,Grächen Wald- und Naturrundweg: Grächen - Hannigalp – Stafel – Chrütteribord - Lowizig – Dorf Grächen,46.2062,7.867682
777931,Nesselloop Bike,46.371845,7.974532
340887,Veros Schatzsuche: Belalp-Alpe Bäll-Antoniuswald-Blatten bei Naters,46.371895,7.974674
862973,SFT:  Gspon - Simplonpass,46.225018,7.902289
120800,Wanderung von der Bettmeralp via Bettmersee aufs Bettmerhorn,46.386395,8.0577
16958,Petersgrat,46.425694,7.758236
394698,Wanderung über die Goms Bridge ins Musikdorf Ernen bis Fiesch,46.410797,8.151066
157010,Via Francigena: Grand-St-Bernard - Echevennoz,45.868938,7.171097
470000,Goldtoni - Alpenbogen A062 Le Buet-Relais d'Arpette,46.016449,6.918442
175614,Von der Cabane Brunet zur Cabane FXB Panossière,46.030258,7.274209
361171,ZIN-MTB - MTB - Sorebois,46.136288,7.626465
120651,Wanderung von der Belalp über die Hängebrücke zur Riederalp,46.371922,7.974707
908542,Panorama–Winterwanderweg Moosalp,46.238522,7.853156
14860,Hockenhorntour (ab Lauchernalp),46.411209,7.774082
459169,"Stadtrundfahrt mit dem ""Kleinen Simplon Express"" Brig-Glis-Naters",46.316723,7.98817
85392,Kneippweg Blitzingen,46.441738,8.201885
14274,Kippel - Lauchernalp,46.399136,7.771733
339699,Mit Abkürzung von der Belalp aufs Sparrhorn,46.397991,7.977726
229772,Sommer Gommerlauf - Viertelmarathon,46.499462,8.301374
175509,Pfad der Sinne,46.136353,7.242941
812680,"Visperterminen, Hueoterhuesi",46.258137,7.90286
15206,Obers Färda,46.394073,7.759586
862941,Helsana Trail Gelb,46.110619,7.925681
175728,Col de Crans-Montana,46.291882,7.53444
554974,Heidnisch Tossu,46.206779,7.867895
946935,Schneeschuhtrail Champoussin - Frâchette,46.206184,6.867264
196084,Vom Gemmipass zur Lämmerenhütte,46.398251,7.616201
120744,Martisberg-Runde ab Fiesch über Riederalp und Bettmeralp,46.403927,8.135286
169498,Schneeschuhtrail Wasenalp / Hohliecht,46.287163,8.044484
85384,Gommer Höhenweg: Oberwald - Bellwald,46.530819,8.34278
178559,Massaweg von Blatten bei Naters nach Mörel,46.360302,7.986779
586359,Von Saillon zur Hängebrücke von Farinet,46.172321,7.187568
51818,Über fünf Alpen ins Rhonetal,46.404404,7.740727
398486,Bisse Neuf ou Bénou,46.308804,7.531363
179696,Valais Vélo Tour 2: Crans-Montana - Leukerbad,46.31237,7.48023
190945,Sion - Bisse de Clavau- Icogne,46.241108,7.360801
175727,Autour des petits lacs de Crans-Montana,46.312382,7.48024
819423,Vom Mattmark-Stausee zur goldenen Madonna auf dem Monte Moro Pass,46.047859,7.954258
389058,Arolla to Les Haudères/La Sage,46.025612,7.481195
276420,Entlang dem Wasser,46.306431,7.749663
164002,Rundweg Trützisee,46.491615,8.282057
120801,Winterwanderung von Betten Dorf via Goppisberg nach Greich,46.375603,8.067746
306127,Alpage Tour,46.30687,7.388805
529111,Tour du Mont-Blanc,46.030182,7.116437
552504,Ovronnaz/Mayens de Chamoson – Wallis Velo Tour,46.186291,7.208484
1000687,Torrenttrail Bike,46.369099,7.648636
50436,Abenteuerweg (Nr. 1),46.021358,7.797148
132667,Simplonpass - Glishorn - Brig,46.250149,8.030927
239063,De cabane en cabane via Cabane de la Tièche,46.332634,7.43738
51073,Reblehrpfad - Tärbiner Kulturweg,46.292274,7.881147
490537,Tyndall Trail,46.371807,7.974456
313083,Bike-Tour Gletschergarten Loop (Nr. 24),46.023567,7.748023
682755,E-bike : Découverte culturelle,46.292637,7.533491
91013,Col de Portes de Culet – Mythische Alpenpässe,46.249332,6.948076
167913,Schwarzsee-Stafel (Nr. 123),45.99194,7.709034
354681,Rundwanderung zum Lac d'Arpitettaz,46.136658,7.625889
244796,Spitzhorli Rundtour,46.24958,8.030148
50364,Bike-Tour Blauherd-Riffelalp (Nr. 23),46.016899,7.786457
175730,Montée Steve Morabito,46.264511,7.45953
1040636,Best of Tour du Saint-Bernard,45.951244,7.207915
132682,ViaStockalper - Stockalperweg (Simplonpass - Simplon Dorf),46.245956,8.024827
850702,Via Valais Randa - Mountain Lodge Ze Seewjinu (Etappe 8),46.099792,7.781995
170848,Schneeschuhtrail Bord-Trail,46.380802,7.991235
50694,"Matterhorn Ultraks Trail ""Mountain""",46.021992,7.748795
178475,Geologische Wanderung zum Stausee Vieux-Emosson,46.067947,6.936609
189772,Chemin Du Vignoble - étape de St-Léonard à Loèche/La Souste,46.254559,7.416207
189805,Tseuzier Le Tour du Lac,46.345127,7.432452
805089,Mattmark Bike,46.094112,7.957832
974668,Rundwanderung vom Salwald nach Brischeru,46.317757,7.917434
50799,Platthorn / Mettelhorn (Nr. 33),46.023632,7.748071
210504,The Matterhorn Trail,45.991539,7.709323
812681,Tärbiner Winterwanderweg,46.258137,7.902862
120804,"Winterwanderweg Rundweg Bettmeralp ""Waldpromenade""",46.386211,8.057603
922048,Suonentrail Unterbäch,46.274582,7.797814
172470,"Bättelmatthorn, 3044 m",46.472687,8.382482
132587,Simplon Höhenweg,46.246635,8.029024
928020,Kreuzboden-Trail,46.128014,7.938811
172351,Auf der Alten Bergstrasse von Naters nach Blatten bei Naters,46.325508,7.988867
499550,Valais Bike,46.379539,7.627126
130872,Kapellenweg,46.116428,7.938537
50419,Vitaparcours Zermatt,46.012737,7.740852
946929,Die Tour des Dents Blanches,46.149796,6.831661
84817,Winterwanderweg: Grächen - Bärgji,46.196892,7.841099
120794,Wanderung von Fiesch via Lax über Hockmatta und Twingischlucht nach Binn,46.403503,8.133512
214000,Rhein-Reuss-Rhôneweg: Saillon - Martigny,46.171478,7.184798
85362,Galmihornhütte-Wanderung - «Rundum hibsch»,46.485493,8.266402
50803,Tour Monte Rosa - Matterhorn,46.023594,7.748043
601921,Jolischlucht,46.306396,7.801206
50189,Rundwanderung Täsch (Nr. 42),46.067661,7.775241
834928,Col du Basset,45.929401,7.107705
490552,Richinen Gassen Weg,46.440838,8.165835
130889,Winter-Talweg Saastal,46.153397,7.928287
183350,Crans-Montana Bike Marathon,46.304821,7.480653
50455,Direttissima (Nr. 4),46.029488,7.77436
130874,Maultierweg / Alter Saumweg Saas-Fee,46.123535,7.936877
78278,Wallis Velo Tour: Crans-Montana-Leukerbad (Etappe 2),46.312351,7.480245
266155,Goldtoni - Alpenbogen A057 Col du Demecre-Auberge de Salanfe,46.173985,7.082032
194351,Sentier des bouquetins,46.081116,7.39771
576967,De Chalais aux chalets ... en passant par LE RICARD,46.254311,7.493986
553290,N°110 Tour des cabanes,46.081215,7.213008
5114,Talabfahrt (Rinderhütte-Tunnel-Folljeret-Leukerbad),46.369141,7.648802
164008,Rottenweg,46.530689,8.343455
16359,AllroundTour,46.401882,7.778268
1034298,Jeizi Enduro,46.326431,7.722601
16361,MagicTour,46.402779,7.782669
189812,Thermalquellen-Wanderung in Leukerbad,46.37944,7.629431
156799,Via Francigena: Martigny - Orsières,46.100925,7.073772
707125,Wanderung von Fiesch ins Fieschertal über die Aspi-Titter Hängebrücke nach Bellwald,46.406113,8.134389
50626,"Matterhorn Ultraks Trail ""Vertical""",46.021706,7.749095
120669,Themenweg Erlebnispfad (Gratweg) von der Moosfluh zur Riederfurka,46.377846,8.033335
1011155,"Piste bleu/rouge ""Abérieu par Savolaire""  | Rando-Parc",46.236641,6.856798
120758,Schneeschuhtrail Fiesch - Fiescheralp,46.400204,8.130036
343596,La Dérupe,46.268414,7.511972
389015,Cabane du Prafleuri to Arolla,46.071682,7.379794
178575,Les cols du Grand-St-Bernard,45.868912,7.170946
731418,Fionnay – Col des Otanes - Corbassière,46.032745,7.306736
279338,St-Luc : Rando Parc / Pluton,46.217953,7.61185
586317,Galerie Défago,46.175102,6.870419
91494,Klettersteig Evolène,46.106087,7.501924
239024,Par les Alpages du Dedans,46.34639,7.435366
120683,"Winterwanderung von der Bettmeralp via Ried, Domo nach Betten Dorf",46.386459,8.057741
107941,Zinal: DW - Lac de Moiry - tour 2500,46.138348,7.574321
313099,Bike-Tour Oberer Höhenweg (Nr. 30),46.011803,7.767324
132706,Suonenwanderung Bärgeri,46.293835,8.023131
276415,Rundweg Nideralpe - Chlusmatte,46.227676,8.012144
374692,Parcours n°3 - Hôtel Weisshorn,46.220467,7.597326
210501,The Five Lakes Walk,46.01738,7.785914
50942,Zermatt-Zmutt (via Bielti/Furi) (Nr. 120),46.016006,7.742594
212750,Rhein-Reuss-Rhôneweg:  Gampel - Salgesch,46.316856,7.743949
519108,Trail Verbier St-Bernard,46.095909,7.22748
499553,Valais Bike Unterbäch-Grächen (Etappe 2),46.284622,7.800747
394704,Barrage de Moiry/Grimentz to Zinal,46.138355,7.574204
14255,Wiler - Blatten,46.401169,7.777468
354686,Wanderung nach Saint-Luc oder Chandolin,46.208305,7.617982
130892,Hinter dem Mittaghorn,46.068527,7.915601
946946,04. Les Crosets - Sur Cou - Chavalet,46.185627,6.83862
130869,Klettersteig Mittaghorn,46.081371,7.917731
202107,Lötschberger Südrampe von Hohtenn nach Naters,46.319054,7.756081
12397,Der Friedliche: Rundwanderung Eistli,46.394215,7.759852
501833,Einfache Rundwanderung auf der Riffelalp,46.004971,7.753835
485654,Rothwald Trail,46.279263,8.038005
395840,Plattjen Bike-Trail,46.104408,7.925194
185995,Col du Sanetsch,46.322746,7.299738
85936,Mattmark - Staudamm Trophy,46.293774,7.882643
62527,Pfulwe,46.020737,7.798165
556816,Höhenweg Schalb-Jungu,46.21701,7.816806
120738,"Aussichtsreiche Mountainbikerunde über Breiten, Bister und Hockmatte",46.404125,8.135408
421178,ZIN-MTB - MTB - Grimentz - Vercorin,46.136276,7.626478
593336,Talweg Stalden - Saas,46.232101,7.870684
175513,Von Anzère zum Lac de Tseuzier,46.294125,7.395519
14236,Wiler - Fafleralp,46.401169,7.777468
361146,ZIN-DW - Bendolla - Orzival - Mayoux,46.180981,7.557332
500081,Lehrpfad Charlotte La Marmotte,45.931911,7.09873
132694,Termen - zGartu - Mörel,46.327625,8.021648
130945,Im Tal der Almageller,46.098206,7.95629
81466,Tour durchs Trienttal,46.132668,7.04407
120678,Von der Riederalp nach Fiesch,46.378021,8.03371
50801,AHV-Weg / unterer Höhenweg (Nr. 109),46.013103,7.745157
201191,Veros Panorama Trail,46.371815,7.974468
559768,Wasserlehrpfad,46.251427,7.829288
164061,SnowRabbit,46.428951,8.162922
