title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
"['Zum Hinterburgseeli, dem Naturwunder auf der Axalp']",['medium'],['Hiking'],10.69km,03:45h,624hm,"1,521 - 1,878m",rating-3,rating-3,48850
['Zu eiszeitlichen Riesen und zur Wohnstätte steinzeitlicher Menschen'],['easy'],['Hiking'],10.5km,02:40h,254hm,459 - 564m,rating-2,rating-2,51212
['Gehrihorn'],['easy'],['Hiking'],6.65km,03:20h,"1,357hm","771 - 2,129m",rating-1,rating-0,870922
['Einzigartig: der neue Gäggersteg'],['easy'],['Hiking'],13.36km,04:00h,510hm,"1,531 - 1,720m",rating-2,rating-2,733527
['Schwander - Lebensweg'],['easy'],['Thematic route'],3.55km,01:30h,86hm,647 - 735m,rating-1,rating-2,133945
['Merängge-Cher im Kemmribodenbad'],['easy'],['Hiking'],6.97km,02:10h,330hm,"975 - 1,184m",rating-2,rating-2,509375
['Blueme – zum Aussichtsturm über dem Thunersee'],['medium'],['Hiking'],10.13km,03:10h,422hm,"991 - 1,394m",rating-2,rating-3,86143
['Rund ums Wiriehore'],['medium'],['Hiking'],9.2km,03:30h,622hm,"1,410 - 2,032m",rating-4,rating-3,99640
['Kanderfälle'],['medium'],['Hiking'],2.32km,01:00h,165hm,"1,195 - 1,328m",rating-3,rating-3,744919
['Gipfelwanderung zum Rauflihorn'],['medium'],['Hiking'],15.33km,06:00h,"1,101hm","1,222 - 2,323m",rating-3,rating-3,316229
['Durchs Jahr wandern - Edelweiss am Iffighorn'],['medium'],['Hiking'],10.77km,04:20h,850hm,"1,583 - 2,378m",rating-3,rating-4,658326
['Rundtour über den Rüwlispass - Hornberg ins Saanenland und retour'],['medium'],['Cycling'],31.82km,03:25h,950hm,"934 - 1,836m",rating-2,rating-4,700232
['St. Stephan - Rüwlispass - Gstaad - Saanenmöser - St. Stephan'],['medium'],['Cycling'],38.14km,03:50h,"1,055hm","934 - 1,724m",rating-2,rating-4,700226
"['Von Alpiglen via Eigertrail, Klettersteig Rotstock und Eigergletscher nach Kleine Scheidegg']",['medium'],['Via ferrata'],10.3km,05:00h,"1,115hm","1,615 - 2,662m",rating-3,rating-2,752896
['Boltigen - Feuersteini - Rossberg - Pfaffenried - Boltigen'],['easy'],['Cycling'],15.91km,01:25h,405hm,"797 - 1,136m",rating-1,rating-2,717203
['Auf den Jolimont zur Tüfelsburdi'],[],['Hiking'],9.84km,02:30h,194hm,465 - 603m,rating-,rating-0,101687
