title,difficulty,sport,length,time,climb,minmax,technique,fitness,ID
['Abenteuerparcours Bietschtalbrücke'],['medium'],['Via ferrata'],8.28km,03:45h,635hm,"636 - 1,021m",rating-,rating-4,92278
['Dorfwaldweg'],['easy'],['Hiking'],4.47km,01:20h,172hm,"1,406 - 1,577m",rating-2,rating-2,50215
['Von der Belalp zur Nesselalp und nach Birgisch'],['medium'],['Hiking'],9.69km,03:30h,64hm,"1,078 - 2,096m",rating-4,rating-4,132700
['Helsana Trail : Crans-Montana blau'],['medium'],['Trailrunning'],5.12km,00:51h,78hm,"1,348 - 1,426m",rating-2,rating-3,586714
"[""Tour du Val d'Anniviers""]",[],['long-distance walking trail'],77.24km,28:12h,"4,974hm","1,000 - 2,856m",rating-,rating-0,258046
['Riffelalpweg'],['medium'],['Hiking'],4.18km,01:30h,26hm,"1,664 - 2,226m",rating-2,rating-3,51071
"['Forêt de Pfyn/Finges - Parcours ""Les collines"" (Zurich VitaParcours)']",['medium'],['Hiking'],4.55km,01:27h,148hm,542 - 599m,rating-3,rating-4,395857
['Weinweg: Branson - Saillon (Etappe 1)'],['medium'],['Hiking'],12.03km,03:30h,223hm,460 - 625m,rating-2,rating-3,179122
['Gasenried - SAC Bordierhütte'],['difficult'],['Hiking'],7.76km,05:00h,"1,236hm","1,658 - 2,894m",rating-6,rating-5,82109
['Über den Waldpfad zum Saumweg'],['difficult'],['Hiking'],16.91km,06:00h,"1,182hm","1,331 - 2,206m",rating-3,rating-6,51719
['Via Valais Cabane des Becs de Bosson - Cabane de Moiry (Etappe 4)'],['medium'],['Trailrunning'],16.54km,03:15h,759hm,"2,251 - 2,985m",rating-3,rating-4,823068
['E-Bike-Tour'],['easy'],['Cycling'],18.78km,02:30h,550hm,"1,355 - 1,790m",rating-2,rating-2,16366
['Antronapass - Auf den Spuren der Händler'],['medium'],['Hiking'],8.09km,04:00h,939hm,"1,902 - 2,838m",rating-4,rating-4,130858
['Wallis Velo Tour: Leukerbad - Oberwald (Etappe 3)'],['difficult'],['Cycling'],98.99km,06:00h,"2,029hm","623 - 1,495m",rating-5,rating-4,82706
['Challenge Trail'],['easy'],['Snowshoe'],1.67km,01:00h,1hm,"2,815 - 3,089m",rating-2,rating-2,50572
['Winterwanderweg Oberems'],['medium'],['Winter hiking'],3.2km,01:55h,235hm,"1,331 - 1,600m",rating-2,rating-3,908545
['Spektakuläre Alpinwanderung von Grächen zur SAC Bordierhütte'],['difficult'],['Hiking'],9.24km,04:50h,"1,283hm","1,618 - 2,898m",rating-5,rating-5,82167
['Wallis Velo Tour: Le Bouveret - Sion (Etappe 10)'],['medium'],['Cycling'],85.79km,06:35h,"1,179hm","374 - 1,371m",rating-4,rating-3,82702
